,result,champion,kill,death,assist,dmg_dealt,dmg_taken,game_type,length,kill_percentage,average_tier,cs,cs_per_minute,items,control_wards,baron,dragon,tower
94,Victoria,Kayn,1 , 4 , 7,"7,401","21,458",Normal,22 35,C/Kill 44%,silver 3,139,(6.2),"['Poción reutilizable', 'Botas jonias de la lucidez', 'Garra de merodeador', 'Lágrima de la diosa', 'Martillo de guerra de Caulfield', 'Espada larga', 'Lente del oráculo']",Control Ward 2,0,3,11
95,Victoria,Zed,4 , 2 , 3,"10,014","8,599",Normal,17 8,C/Kill 47%,bronze 1,88,(5.1),"['Botas jonias de la lucidez', 'Poción reutilizable', 'Garra de merodeador', 'Espada larga', 'Lente del oráculo']",Control Ward 4,0,2,4
96,Derrota,Zed,9 , 10 , 5,"31,664","28,479",Clasificatoria Solo 5vs5,40 6,C/Kill 40%,bronze 1,194,(4.8),"['Eclipse', 'Botas de mercurio', 'Filo fantasmal de Youmuu', 'Rencor de Serylda', 'Colmillo de serpiente', 'Espada larga', 'Lente del oráculo']",Control Ward 1,0,3,8
97,Victoria,Zed,13 , 3 , 16,"22,713","16,523",Normal,26 0,C/Kill 60%,silver 3,122,(4.7),"['Eclipse', 'Botas jonias de la lucidez', 'Poción reutilizable', 'Hidra voraz', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 3,0,2,1
98,Victoria,Zed,9 , 4 , 4,"16,149","13,734",Normal,22 30,C/Kill 54%,silver 4,109,(4.8),"['Eclipse', 'Poción reutilizable', 'Botas de mercurio', 'Cetro vampírico', 'Tiamat', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 2,0,2,4
99,Victoria,Vi,4 , 5 , 5,"10,412","22,392",Normal,30 10,C/Kill 30%,silver 4,161,(5.3),"['Baile de la muerte', 'Eclipse', 'Poción reutilizable', 'Botas blindadas', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 3,1,3,3
100,Derrota,Vex,1 , 4 , 1,"6,709","10,250",Normal,19 19,C/Kill 29%,silver 4,126,(6.5),"['Anillo de Doran', 'Tempestad de Luden', 'Botas de hechicero', 'Poción reutilizable', 'Lente del oráculo']",Control Ward 2,0,0,4
101,Victoria,Kayn,7 , 3 , 5,"5,327","15,045",Normal,16 5,C/Kill 52%,bronze 2,100,(6.2),"['Cría de Caminabrisas', 'Poción reutilizable', 'Garra de merodeador', 'Manamune', 'Botas jonias de la lucidez', 'Lente del oráculo']",Control Ward 0,0,0,4
102,Rehacer,Vi,0 , 0 , 0,146,"1,508",Normal,2 58,C/Kill 0%,bronze 1,12,(4),"['Brote de Brincamontes', 'Poción de vida', 'Lente del oráculo']",Control Ward 0,0,0,4
103,Victoria,Kayn,9 , 3 , 5,"18,143","30,588",Normal,27 49,C/Kill 39%,bronze 1,146,(5.2),"['Cuchilla negra', 'Poción reutilizable', 'Chupasangre', 'Botas de mercurio', 'Chaleco de cadenas', 'Pico', 'Lente del oráculo']",Control Ward 2,0,0,2
104,Victoria,Blitzcrank,4 , 9 , 20,"14,562","21,019",ARAM,16 54,C/Kill 46%,gold 3,11,(0.7),"['Tempestad de Luden', 'Llamasombría', 'Poción reutilizable', 'Alternador hextech', 'Botas de hechicero', 'Tomo amplificador', 'Snack para poros']",Control Ward 0,1,4,11
105,Victoria,Karma,11 , 12 , 40,"29,848","31,994",ARAM,23 14,C/Kill 73%,silver 1,20,(0.9),"['Tempestad de Luden', 'Botas de hechicero', 'Cinturón de gigante', 'Impulso cósmico', 'Morellonomicón', 'Bastón del Vacío', 'Snack para poros']",Control Ward 0,0,1,0
106,Victoria,Olaf,6 , 11 , 21,"27,350","36,470",ARAM,24 46,C/Kill 75%,silver 2,55,(2.2),"['Hidra voraz', 'Botas de mercurio', 'Chupasangre', 'Baile de la muerte', 'Sorbemaleficios', 'Espada larga', 'Snack para poros']",Control Ward 0,0,3,5
107,Derrota,Fizz,14 , 11 , 23,"33,474","28,223",ARAM,22 54,C/Kill 50%,silver 4,37,(1.6),"['Llamasombría', 'Botas de hechicero', 'Reloj de arena de Zhonya', 'Tempestad de Luden', 'Bastón del Vacío', 'Orbe del olvido', 'Snack para poros']",Control Ward 0,0,0,4
108,Victoria,Vex,9 , 8 , 16,"32,608","22,354",Normal,36 36,C/Kill 57%,silver 1,199,(5.4),"['Vara explosiva', 'Llamasombría', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Joya de la plaga', 'Tempestad de Luden', 'Lente del oráculo']",Control Ward 2,0,0,1
109,Derrota,Vex,1 , 2 , 2,"5,556","7,385",Normal,15 40,C/Kill 50%,silver 2,74,(4.7),"['Anillo de Doran', 'Poción reutilizable', 'Tempestad de Luden', 'Botas', 'Guardián de control', 'Lente del oráculo']",Control Ward 3,0,0,1
110,Victoria,Vi,7 , 0 , 6,"8,335","13,563",Normal,22 14,C/Kill 45%,silver 4,127,(5.7),"['Poción reutilizable', 'Eclipse', 'Botas de mercurio', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 2,0,0,4
111,Victoria,Zed,22 , 10 , 16,"35,337","24,789",ARAM,23 9,C/Kill 61%,bronze 1,73,(3.2),"['Filoscuro de Draktharr', 'Botas jonias de la lucidez', 'Filo de la noche', 'Arco axiomático', 'Rencor de Serylda', 'Daga dentada', 'Snack para poros']",Control Ward 0,1,2,11
112,Derrota,Twitch,11 , 13 , 23,"27,279","26,075",ARAM,19 42,C/Kill 76%,bronze 1,43,(2.2),"['Verdugo de krakens', 'Grebas de berserker', 'Hoja del rey arruinado', 'Recuerdos de lord Dominik', 'Cetro vampírico', 'Snack para poros']",Control Ward 0,0,0,2
113,Derrota,Aatrox,11 , 13 , 18,"31,644","54,808",ARAM,20 49,C/Kill 57%,silver 3,38,(1.8),"['Botas blindadas', 'Baile de la muerte', 'Chupasangre', 'Rostro espiritual', 'Malla de espinas', 'Pico', 'Snack para poros']",Control Ward 0,0,0,1
114,Derrota,Veigar,14 , 15 , 21,"43,809","36,443",ARAM,26 10,C/Kill 58%,silver 2,68,(2.6),"['Tempestad de Luden', 'Morellonomicón', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Bastón del Vacío', 'Llamasombría', 'Snack para poros']",Control Ward 0,0,0,4
115,Victoria,Vi,2 , 5 , 3,"5,553","20,393",Normal,27 39,C/Kill 26%,silver 3,140,(5.1),"['Baile de la muerte', 'Eclipse', 'Botas blindadas', 'Lente del oráculo']",Control Ward 1,0,0,2
116,Derrota,Vi,6 , 4 , 7,"13,670","19,242",Normal,24 12,C/Kill 65%,silver 1,128,(5.3),"['Martillo de guerra de Caulfield', 'Eclipse', 'Poción reutilizable', 'Botas blindadas', 'Baile de la muerte', 'Gema avivadora', 'Lente del oráculo']",Control Ward 1,0,0,1
117,Victoria,Ashe,2 , 4 , 21,"8,028","8,378",ARAM,11 51,C/Kill 70%,silver 1,8,(0.7),"['Mandato imperial', 'Lágrima de la diosa', 'Poción reutilizable', 'Botas jonias de la lucidez', 'Martillo de guerra de Caulfield', 'Espada larga', 'Snack para poros']",Control Ward 0,0,2,2
118,Victoria,Sejuani,9 , 10 , 24,"15,693","39,504",ARAM,20 43,C/Kill 75%,silver 1,41,(2),"[""Jak'Sho, el Proteico"", 'Botas blindadas', 'Fuerza de la naturaleza', 'Égida de fuego solar', 'Malla de espinas', 'Cristal de rubí', 'Snack para poros']",Control Ward 0,0,1,0
119,Derrota,Fizz,27 , 20 , 15,"69,231","52,901",ARAM,33 14,C/Kill 55%,gold 3,98,(2.9),"['Tempestad de Luden', 'Llamasombría', 'Reloj de arena de Zhonya', 'Bastón del Vacío', 'Botas de hechicero', 'Morellonomicón', 'Snack para poros']",Control Ward 0,1,3,8
120,Derrota,Heimerdinger,15 , 13 , 40,"41,859","29,971",ARAM,22 22,C/Kill 81%,silver 3,54,(2.4),"['Desconsuelo de Liandry', 'Botas de hechicero', 'Reloj de arena de Zhonya', 'Morellonomicón', 'Bastón del Vacío', 'Cristal de rubí', 'Snack para poros']",Control Ward 0,1,3,7
121,Derrota,Vi,8 , 3 , 8,"18,757","26,576",Normal,28 0,C/Kill 76%,silver 1,177,(6.3),"['Cuchilla negra', 'Desgarrador divino', 'Cristal de rubí', 'Botas blindadas', 'Baile de la muerte', 'Chaleco de zarzas', 'Lente del oráculo']",Control Ward 2,1,2,2
122,Derrota,Vi,3 , 3 , 2,"4,155","11,259",Normal,15 23,C/Kill 50%,silver 3,73,(4.7),"['Brote de Brincamontes', 'Eclipse', 'Poción reutilizable', 'Chaleco de cadenas', 'Botas de mercurio', 'Lente del oráculo']",Control Ward 2,1,1,8
123,Victoria,Vex,8 , 11 , 16,"39,056","37,488",Normal,40 40,C/Kill 51%,silver 4,189,(4.6),"['Botas de hechicero', 'Reloj de arena de Zhonya', 'Tempestad de Luden', 'Morellonomicón', 'Tomo amplificador', 'Lente del oráculo']",Control Ward 2,0,1,4
124,Victoria,Vi,14 , 10 , 11,"28,891","37,183",Normal,36 58,C/Kill 48%,bronze 1,203,(5.5),"['Baile de la muerte', 'Eclipse', 'Malla de espinas', 'Botas blindadas', 'Cuchilla negra', 'Armadura de tela', 'Lente del oráculo']",Control Ward 2,0,0,5
125,Derrota,Kayn,3 , 6 , 4,"13,622","35,258",Normal,28 40,C/Kill 30%,silver 2,159,(5.5),"['Baile de la muerte', 'Poción reutilizable', 'Chupasangre', 'Botas blindadas', 'Martillo de guerra de Caulfield', 'Espada larga', 'Lente del oráculo']",Control Ward 2,0,3,9
126,Victoria,Kayn,11 , 5 , 10,"28,650","38,979",Normal,34 4,C/Kill 58%,silver 3,187,(5.5),"['Filo de la noche', 'Botas jonias de la lucidez', 'Garra de merodeador', 'Rencor de Serylda', 'Muramana', 'Espada larga', 'Lente del oráculo']",Control Ward 1,0,2,3
127,Derrota,Vex,3 , 12 , 6,"22,374","26,504",Normal,31 32,C/Kill 36%,gold 4,140,(4.4),"['Anillo de Doran', 'Tempestad de Luden', 'Poción reutilizable', 'Botas de hechicero', 'Llamasombría', 'Códice diabólico', 'Lente del oráculo']",Control Ward 2,1,4,9
128,Derrota,Vex,3 , 10 , 7,"14,505","21,959",Normal,28 51,C/Kill 48%,silver 1,136,(4.7),"['Anillo de Doran', 'Tempestad de Luden', 'Reloj de arena de Zhonya', 'Tomo amplificador', 'Botas de hechicero', 'Lente del oráculo']",Control Ward 1,0,0,4
129,Victoria,Vi,4 , 6 , 16,"17,169","31,242",Normal,38 42,C/Kill 38%,gold 4,188,(4.9),"['Baile de la muerte', 'Eclipse', 'Botas blindadas', 'Cuchilla negra', 'Chaleco de zarzas', 'Lente del oráculo']",Control Ward 3,0,0,2
130,Victoria,Vi,1 , 0 , 2,"2,448","11,816",Normal,19 1,C/Kill 38%,silver 4,118,(6.2),"['Eclipse', 'Poción reutilizable', 'Armadura de tela', 'Botas', 'Lente del oráculo']",Control Ward 1,0,4,9
131,Victoria,Vex,14 , 2 , 6,"33,460","12,776",Rango 5:5 Flex,29 3,C/Kill 50%,silver 1,121,(4.2),"['Anillo de Doran', 'Orbe del olvido', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Tempestad de Luden', 'Alternador hextech', 'Lente del oráculo']",Control Ward 2,0,3,7
132,Victoria,Leona,3 , 8 , 28,"9,962","29,735",ARAM,18 8,C/Kill 58%,silver 4,12,(0.7),"[""Jak'Sho, el Proteico"", 'Poción reutilizable', 'Botas blindadas', 'Égida de fuego solar', 'Chaleco de zarzas', 'Cinturón de gigante', 'Snack para poros']",Control Ward 0,0,2,8
133,Derrota,Sejuani,3 , 5 , 1,"9,870","29,683",Normal,24 20,C/Kill 31%,silver 1,140,(5.8),"['Malla de espinas', 'Botas blindadas', 'Corazón de acero', 'Cristal de rubí', 'Poción reutilizable', 'Lente del oráculo']",Control Ward 1,0,3,4
134,Victoria,Vex,9 , 3 , 9,"25,875","16,305",Normal,29 41,C/Kill 51%,silver 3,153,(5.2),"['Anillo de Doran', 'Tempestad de Luden', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Orbe del olvido', 'Poción reutilizable', 'Lente del oráculo']",Control Ward 4,0,0,1
135,Derrota,Vex,4 , 13 , 8,"37,666","31,431",Normal,46 35,C/Kill 24%,silver 1,185,(4),"['Morellonomicón', 'Poción reutilizable', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Tempestad de Luden', 'Joya de la plaga', 'Lente del oráculo']",Control Ward 1,1,2,7
136,Victoria,Vex,5 , 5 , 8,"18,496","16,689",Normal,26 15,C/Kill 33%,silver 2,143,(5.4),"['Anillo de Doran', 'Tempestad de Luden', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Poción reutilizable', 'Lente del oráculo']",Control Ward 2,0,0,0
137,Victoria,Vex,3 , 4 , 7,"12,613","13,780",Normal,27 16,C/Kill 50%,silver 4,159,(5.8),"['Poción reutilizable', 'Tempestad de Luden', 'Reloj de arena de Zhonya', 'Anillo de Doran', 'Alternador hextech', 'Botas de hechicero', 'Lente del oráculo']",Control Ward 2,0,1,0
138,Derrota,Vex,2 , 6 , 2,"11,649","11,922",Normal,21 1,C/Kill 31%,silver 2,111,(5.3),"['Anillo de Doran', 'Tempestad de Luden', 'Botas de hechicero', 'Poción reutilizable', 'Tomo amplificador', 'Lente del oráculo']",Control Ward 2,0,2,5
139,Victoria,Vex,6 , 7 , 13,"26,635","19,939",Normal,32 3,C/Kill 45%,silver 3,159,(5),"['Orbe del olvido', 'Tempestad de Luden', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Tomo amplificador', 'Alternador hextech', 'Lente del oráculo']",Control Ward 3,0,1,3
140,Derrota,Zed,0 , 3 , 1,"2,880","5,468",Normal,12 7,C/Kill 20%,silver 3,48,(4),"['Daga dentada', 'Poción reutilizable', 'Botas', 'Lente del oráculo']",Control Ward 3,2,1,8
141,Derrota,Zed,5 , 3 , 0,"8,331","11,751",Normal,19 28,C/Kill 56%,silver 3,79,(4.1),"['Poción reutilizable', 'Garra de merodeador', 'Tiamat', 'Botas de mercurio', 'Lente del oráculo']",Control Ward 5,0,3,8
142,Derrota,Zed,4 , 6 , 2,"20,018","20,081",Clasificatoria Solo 5vs5,28 6,C/Kill 27%,bronze 1,183,(6.5),"['Eclipse', 'Hidra voraz', 'Botas de mercurio', 'Martillo de guerra de Caulfield', 'Poción reutilizable', 'Espada larga', 'Lente del oráculo']",Control Ward 0,0,2,5
143,Derrota,Zed,12 , 8 , 9,"36,413","23,206",Normal,32 9,C/Kill 58%,silver 2,213,(6.6),"['Eclipse', 'Botas jonias de la lucidez', 'Filo fantasmal de Youmuu', 'Hidra voraz', 'Rencor de Serylda', 'Lente del oráculo']",Control Ward 1,1,4,10
144,Victoria,Zed,7 , 8 , 7,"19,274","25,363",Normal,33 10,C/Kill 37%,silver 3,181,(5.5),"['Poción reutilizable', 'Botas jonias de la lucidez', 'Garra de merodeador', 'Hidra voraz', 'Rencor de Serylda', 'Lente del oráculo']",Control Ward 2,0,0,1
145,Victoria,Kayn,9 , 2 , 12,"23,421","27,934",Normal,26 42,C/Kill 72%,bronze 3,168,(6.3),"['Poción reutilizable', 'Muramana', 'Garra de merodeador', 'Botas jonias de la lucidez', 'Rencor de Serylda', 'Lente del oráculo']",Control Ward 0,0,1,0
146,Victoria,Zed,12 , 1 , 4,"23,089","17,288",Normal,28 49,C/Kill 52%,silver 4,182,(6.3),"['Eclipse', 'Poción reutilizable', 'Filo fantasmal de Youmuu', 'Botas jonias de la lucidez', 'Hidra voraz', 'Lente del oráculo']",Control Ward 1,0,0,1
147,Victoria,Zed,19 , 4 , 7,"37,097","18,331",Normal,28 18,C/Kill 67%,silver 3,158,(5.6),"['Eclipse', 'Hidra voraz', 'Espada larga', 'Botas jonias de la lucidez', 'Rencor de Serylda', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 1,0,0,4
148,Victoria,Zed,6 , 2 , 2,"9,425","7,785",Normal,16 21,C/Kill 42%,silver 3,104,(6.4),"['Eclipse', 'Tiamat', 'Poción reutilizable', 'Botas de mercurio', 'Espada larga', 'Lente del oráculo']",Control Ward 1,0,0,4
149,Derrota,Zed,1 , 4 , 1,"10,404","8,135",Normal,18 35,C/Kill 29%,silver 4,87,(4.7),"['Poción reutilizable', 'Manto de anulación de magia', 'Garra de merodeador', 'Botas', 'Lente del oráculo']",Control Ward 1,0,0,4
150,Derrota,Fizz,16 , 11 , 19,"31,314","25,830",ARAM,21 11,C/Kill 65%,silver 3,33,(1.6),"['Tempestad de Luden', 'Poción reutilizable', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Llamasombría', 'Bastón del Vacío', 'Snack para poros']",Control Ward 0,0,0,4
151,Victoria,Sylas,6 , 4 , 18,"16,647","14,029",ARAM,12 26,C/Kill 52%,bronze 1,16,(1.3),"['Cosechador nocturno', 'Botas de hechicero', 'Reloj de arena de Zhonya', 'Alternador hextech', 'Snack para poros']",Control Ward 0,0,0,4
152,Victoria,Karma,7 , 11 , 29,"26,993","29,741",ARAM,22 29,C/Kill 52%,silver 1,29,(1.3),"['Tempestad de Luden', 'Poción reutilizable', 'Cronómetro', 'Llamasombría', 'Bastón del Vacío', 'Botas de hechicero', 'Snack para poros']",Control Ward 0,1,2,11
153,Victoria,Lucian,14 , 18 , 22,"46,446","55,319",ARAM,33 53,C/Kill 49%,silver 3,151,(4.5),"['Segador de esencia', 'Grebas de berserker', 'Viento huracanado', 'Filo infinito', 'Sanguinaria', 'Recordatorio letal', 'Snack para poros']",Control Ward 0,0,0,0
154,Victoria,Sejuani,2 , 6 , 22,"12,863","25,815",ARAM,15 22,C/Kill 55%,silver 2,45,(2.9),"['Égida de fuego solar', ""Jak'Sho, el Proteico"", 'Botas blindadas', 'Chaleco de zarzas', 'Cristal de rubí', 'Snack para poros']",Control Ward 0,0,1,3
155,Victoria,Thresh,9 , 9 , 41,"25,449","36,025",ARAM,24 15,C/Kill 89%,silver 3,20,(0.8),"[""Jak'Sho, el Proteico"", 'Fuerza de la naturaleza', 'Botas blindadas', 'Malla de espinas', 'Égida de fuego solar', 'Hábito del espectro', 'Snack para poros']",Control Ward 0,0,0,4
156,Victoria,Zed,18 , 6 , 8,"41,168","33,663",Normal,39 20,C/Kill 54%,silver 3,229,(5.8),"['Eclipse', 'Hidra voraz', 'Daga dentada', 'Botas de mercurio', 'Rencor de Serylda', 'Cuchilla negra', 'Lente del oráculo']",Control Ward 4,0,4,10
157,Derrota,Sylas,2 , 6 , 3,"7,232","17,832",Normal,20 23,C/Kill 45%,silver 2,70,(3.4),"['Escudo de Doran', 'Poción reutilizable', 'Escarcha eterna', 'Calzado ligeramente mágico', 'Lente del oráculo']",Control Ward 3,0,3,6
158,Derrota,Zed,1 , 7 , 0,"10,129","12,316",Normal,24 5,C/Kill 10%,silver 2,108,(4.5),"['Botas de mercurio', 'Poción reutilizable', 'Garra de merodeador', 'Pico', 'Lente del oráculo']",Control Ward 1,0,1,2
159,Derrota,Leona,3 , 10 , 36,"16,810","35,683",ARAM,22 15,C/Kill 66%,silver 3,11,(0.5),"[""Jak'Sho, el Proteico"", 'Botas de mercurio', 'Égida de fuego solar', 'Malla de espinas', 'Snack para poros']",Control Ward 0,0,0,4
160,Victoria,Zed,16 , 5 , 7,"29,287","24,689",Normal,29 53,C/Kill 61%,silver 2,156,(5.2),"['Filo fantasmal de Youmuu', 'Poción reutilizable', 'Garra de merodeador', 'Botas jonias de la lucidez', 'Rencor de Serylda', 'Daga dentada', 'Lente del oráculo']",Control Ward 1,0,0,2
161,Victoria,Sejuani,6 , 3 , 13,"12,998","27,056",Normal,25 0,C/Kill 50%,silver 1,135,(5.4),"['Malla de espinas', 'Botas blindadas', 'Poción reutilizable', 'Corazón de acero', 'Lente del oráculo']",Control Ward 2,0,0,4
162,Victoria,Kayn,9 , 2 , 1,"5,912","17,110",Normal,18 40,C/Kill 45%,bronze 1,123,(6.6),"['Lágrima de la diosa', 'Garra de merodeador', 'Poción reutilizable', 'Botas jonias de la lucidez', 'Espada larga', 'Lente del oráculo']",Control Ward 1,1,3,5
163,Victoria,Ashe,7 , 11 , 38,"35,778","28,497",ARAM,25 38,C/Kill 63%,silver 2,37,(1.4),"['Mandato imperial', 'Muramana', 'Botas jonias de la lucidez', 'Arco axiomático', 'Rencor de Serylda', 'Tiamat', 'Snack para poros']",Control Ward 0,0,1,1
164,Derrota,Sejuani,14 , 11 , 26,"29,225","68,121",ARAM,25 5,C/Kill 73%,silver 2,56,(2.2),"['Corazón de acero', 'Botas blindadas', 'Égida de fuego solar', 'Malla de espinas', 'Fuerza de la naturaleza', 'Rostro espiritual', 'Snack para poros']",Control Ward 0,0,0,0
165,Victoria,Lux,11 , 5 , 35,"25,310","11,858",ARAM,16 36,C/Kill 81%,bronze 1,40,(2.4),"['Tempestad de Luden', 'Botas de hechicero', 'Poción reutilizable', 'Precisión infalible', 'Llamasombría', 'Tomo amplificador', 'Snack para poros']",Control Ward 0,0,1,4
166,Victoria,LeBlanc,1 , 2 , 4,"14,808","13,370",Normal,24 30,C/Kill 25%,silver 3,92,(3.8),"['Anillo de Doran', 'Tempestad de Luden', 'Poción reutilizable', 'Botas de hechicero', 'Códice diabólico', 'Lente del oráculo']",Control Ward 4,0,0,0
167,Derrota,Zed,3 , 5 , 3,"18,619","20,954",Normal,33 13,C/Kill 38%,bronze 1,176,(5.3),"['Eclipse', 'Hidra voraz', 'Botas de mercurio', 'Espada larga', 'Lente del oráculo']",Control Ward 4,0,0,4
168,Derrota,Hecarim,1 , 6 , 2,"4,664","20,801",Normal,17 13,C/Kill 38%,silver 4,74,(4.3),"['Cría de Caminabrisas', 'Martillo de guerra de Caulfield', 'Gema avivadora', 'Botas', 'Espadón', 'Lágrima de la diosa', 'Lente del oráculo']",Control Ward 2,0,0,1
169,Victoria,Kayn,1 , 1 , 3,"1,190","13,716",Normal,18 7,C/Kill 21%,silver 1,128,(7.1),"['Botas blindadas', 'Chupasangre', 'Armadura de tela', 'Lente del oráculo']",Control Ward 1,0,0,1
170,Derrota,Kayn,6 , 8 , 3,"12,783","30,577",Normal,28 25,C/Kill 43%,bronze 1,135,(4.8),"['Muramana', 'Poción reutilizable', 'Garra de merodeador', 'Daga dentada', 'Botas jonias de la lucidez', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 1,1,1,5
171,Victoria,Zed,13 , 10 , 37,"38,584","29,050",ARAM,25 58,C/Kill 62%,silver 3,85,(3.3),"['Eclipse', 'Mecanoespada punki', 'Hidra voraz', 'Botas de mercurio', 'Cuchilla negra', 'Rencor de Serylda', 'Snack para poros']",Control Ward 0,0,1,0
172,Derrota,Aatrox,12 , 9 , 14,"22,768","30,885",ARAM,15 36,C/Kill 76%,silver 3,63,(4),"['Botas blindadas', 'Baile de la muerte', 'Chupasangre', 'Hidra voraz', 'Martillo de guerra de Caulfield', 'Snack para poros']",Control Ward 0,1,4,10
173,Derrota,Zed,5 , 10 , 7,"16,936","23,842",Normal,29 3,C/Kill 44%,silver 4,140,(4.8),"['Eclipse', 'Tiamat', 'Martillo de guerra de Caulfield', 'Colmillo de serpiente', 'Botas de mercurio', 'Lente del oráculo']",Control Ward 6,0,2,6
174,Derrota,Kayn,13 , 8 , 7,"35,709","51,484",Normal,38 37,C/Kill 41%,silver 4,239,(6.2),"['Muramana', 'Filo fantasmal de Youmuu', 'Garra de merodeador', 'Botas jonias de la lucidez', 'Rencor de Serylda', 'Cuchilla negra', 'Lente del oráculo']",Control Ward 1,1,3,10
175,Derrota,Kayn,0 , 4 , 1,"1,999","16,346",Normal,18 17,C/Kill 10%,silver 4,106,(5.8),"['Lágrima de la diosa', 'Garra de merodeador', 'Calzado ligeramente mágico', 'Poción de vida', 'Armadura de tela', 'Lente del oráculo']",Control Ward 0,0,1,2
176,Victoria,Zed,7 , 9 , 12,"19,372","23,194",Normal,31 13,C/Kill 46%,silver 4,119,(3.8),"['Poción reutilizable', 'Hidra voraz', 'Garra de merodeador', 'Espada larga', 'Botas de mercurio', 'Espada larga', 'Lente del oráculo']",Control Ward 4,0,1,1
177,Derrota,Kayn,13 , 5 , 10,"28,705","35,218",Normal,32 1,C/Kill 61%,silver 2,209,(6.5),"['Rencor de Serylda', 'Cuchilla negra', 'Garra de merodeador', 'Botas jonias de la lucidez', 'Muramana', 'Espada larga', 'Lente del oráculo']",Control Ward 1,0,0,2
178,Victoria,Zed,14 , 12 , 14,"46,143","43,242",Normal,44 40,C/Kill 38%,bronze 1,215,(4.8),"['Eclipse', 'Cuchilla negra', 'Botas de mercurio', 'Hidra voraz', 'Arco axiomático', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 2,0,0,0
179,Victoria,Zed,7 , 0 , 3,"10,911","7,519",Normal,18 57,C/Kill 45%,bronze 2,142,(7.5),"['Poción reutilizable', 'Garra de merodeador', 'Tiamat', 'Espada larga', 'Botas de mercurio', 'Lente del oráculo']",Control Ward 3,0,0,4
180,Derrota,Sylas,4 , 6 , 1,"10,738","21,094",Clasificatoria Solo 5vs5,22 20,C/Kill 33%,bronze 2,71,(3.2),"['Escudo de Doran', 'Poción reutilizable', 'Escarcha eterna', 'Botas de hechicero', 'Manto de anulación de magia', 'Alternador hextech', 'Lente del oráculo']",Control Ward 1,0,0,0
181,Derrota,Kha'Zix,7 , 13 , 25,"29,409","35,405",ARAM,31 53,C/Kill 48%,gold 3,53,(1.7),"['Filoscuro de Draktharr', 'Botas de mercurio', 'Muramana', 'Rencor de Serylda', 'Fauces de Malmortius', 'Hidra voraz', 'Snack para poros']",Control Ward 0,0,0,4
182,Derrota,Akali,3 , 12 , 6,"9,499","25,940",ARAM,17 8,C/Kill 35%,gold 2,24,(1.4),"['Creagrietas', 'Botas de hechicero', 'Reloj de arena de Zhonya', 'Cinturón de gigante', 'Tomo amplificador', 'Snack para poros']",Control Ward 0,0,0,1
183,Victoria,Karma,6 , 5 , 17,"13,770","13,395",ARAM,17 59,C/Kill 50%,platinum 2,20,(1.1),"['Tempestad de Luden', 'Poción reutilizable', 'Botas de hechicero', 'Llamasombría', 'Joya de la plaga', 'Snack para poros']",Control Ward 0,0,2,5
184,Derrota,Viego,10 , 14 , 21,"29,364","39,911",ARAM,21 24,C/Kill 61%,gold 2,52,(2.4),"['Desgarrador divino', 'Botas de mercurio', 'Poción reutilizable', 'Hoja del rey arruinado', 'Baile de la muerte', 'Sorbemaleficios', 'Snack para poros']",Control Ward 0,0,0,2
185,Victoria,Viktor,2 , 9 , 28,"16,520","18,781",ARAM,19 28,C/Kill 63%,silver 3,68,(3.5),"['Desconsuelo de Liandry', 'Botas de hechicero', 'Cronómetro', 'Poción reutilizable', 'Bastón del Vacío', 'Llamasombría', 'Snack para poros']",Control Ward 0,0,0,4
186,Derrota,Akali,3 , 8 , 15,"23,012","20,114",ARAM,16 52,C/Kill 60%,gold 4,19,(1.1),"['Cosechador nocturno', 'Botas de hechicero', 'Reloj de arena de Zhonya', 'Alternador hextech', 'Vara explosiva', 'Snack para poros']",Control Ward 0,0,0,4
187,Victoria,Zed,10 , 1 , 3,"13,907","6,563",Normal,18 58,C/Kill 48%,bronze 2,131,(6.9),"['Botas jonias de la lucidez', 'Poción reutilizable', 'Garra de merodeador', 'Hidra voraz', 'Lente del oráculo']",Control Ward 2,0,0,1
188,Derrota,Lucian,13 , 11 , 11,"22,186","25,747",ARAM,20 30,C/Kill 51%,bronze 2,88,(4.3),"['Segador de esencia', 'Grebas de berserker', 'Viento huracanado', 'Filo infinito', 'Sanguinaria', 'Últimas palabras', 'Snack para poros']",Control Ward 0,0,0,0
